# Flow.40ms,Press.40ms,Crc16
-4.399999999999999745e-02,4.099999999999999645e+00,9.568000000000000000e+03
2.199999999999999872e-02,4.240000000000000213e+00,9.568000000000000000e+03
4.800000000000000100e-02,4.240000000000000213e+00,9.568000000000000000e+03
4.399999999999999745e-02,4.219999999999999751e+00,9.568000000000000000e+03
5.399999999999999939e-02,4.139999999999999680e+00,9.568000000000000000e+03
7.399999999999999634e-02,4.160000000000000142e+00,9.568000000000000000e+03
3.799999999999999906e-02,3.959999999999999964e+00,9.568000000000000000e+03
7.000000000000000666e-02,3.939999999999999947e+00,9.568000000000000000e+03
1.020000000000000073e-01,4.060000000000000497e+00,9.568000000000000000e+03
7.799999999999999989e-02,4.179999999999999716e+00,9.568000000000000000e+03
3.200000000000000067e-02,4.020000000000000462e+00,9.568000000000000000e+03
2.000000000000000042e-02,3.939999999999999947e+00,9.568000000000000000e+03
2.999999999999999889e-02,3.879999999999999893e+00,9.568000000000000000e+03
4.200000000000000261e-02,3.939999999999999947e+00,9.568000000000000000e+03
5.000000000000000278e-02,3.919999999999999929e+00,9.568000000000000000e+03
5.800000000000000294e-02,4.000000000000000000e+00,9.568000000000000000e+03
6.600000000000000311e-02,3.979999999999999982e+00,9.568000000000000000e+03
7.599999999999999811e-02,4.000000000000000000e+00,9.568000000000000000e+03
7.599999999999999811e-02,3.959999999999999964e+00,9.568000000000000000e+03
1.079999999999999988e-01,3.859999999999999876e+00,9.568000000000000000e+03
1.700000000000000122e-01,3.899999999999999911e+00,9.568000000000000000e+03
2.360000000000000153e-01,3.979999999999999982e+00,9.568000000000000000e+03
2.860000000000000320e-01,4.240000000000000213e+00,9.568000000000000000e+03
2.660000000000000142e-01,4.299999999999999822e+00,9.568000000000000000e+03
2.139999999999999958e-01,4.320000000000000284e+00,9.568000000000000000e+03
1.400000000000000133e-01,4.139999999999999680e+00,9.568000000000000000e+03
6.800000000000000488e-02,3.939999999999999947e+00,9.568000000000000000e+03
3.600000000000000422e-02,3.879999999999999893e+00,9.568000000000000000e+03
