# MaskPress.2s,Press.2s,EprPress.2s,Leak.2s,RespRate.2s,TidVol.2s,MinVent.2s,Snore.2s,FlowLim.2s,Crc16
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000036e+01,4.799999999999999822e-01,6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000036e+01,4.799999999999999822e-01,6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000036e+01,4.799999999999999822e-01,6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,5.799999999999999600e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,5.799999999999999600e-01,6.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000107e+01,5.799999999999999600e-01,6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000107e+01,5.799999999999999600e-01,6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000071e+01,5.799999999999999600e-01,6.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705400000000000000e+04
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.080000000000000071e+01,5.400000000000000355e-01,5.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000142e+01,5.200000000000000178e-01,5.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000107e+01,5.000000000000000000e-01,5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.120000000000000107e+01,5.000000000000000000e-01,5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000142e+01,4.799999999999999822e-01,5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.160000000000000142e+01,4.799999999999999822e-01,5.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.060000000000000497e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.040000000000000036e+01,7.199999999999999734e-01,7.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.040000000000000036e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.280000000000000071e+01,6.199999999999999956e-01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,4.600000000000000200e-01,8.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,4.600000000000000200e-01,8.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,4.000000000000000222e-01,7.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,4.000000000000000222e-01,7.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
3.979999999999999982e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.880000000000000071e+01,4.000000000000000222e-01,7.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.340000000000000213e+01,1.400000000000000133e-01,3.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,2.340000000000000213e+01,1.400000000000000133e-01,3.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.020000000000000462e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.860000000000000142e+01,2.200000000000000011e-01,4.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.860000000000000142e+01,2.200000000000000011e-01,4.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.672000000000000000e+03
